date,price,long,exit,exit_,return,rolling_var,rolling_sharpe,location,cum_return,days,annual_return,required_return,required_return_loc,required_to_breakeven,max_drawdown,cr_vs_md,case_why,should_close,should_close_day,fecha_compra
2021-06-02,1902.75,0.0,0.0,0.0,0.0017900860820807551,-0.013007895166475174,-0.2695871343021278,65.38461538461539,0.034328114807567145,113,0.07817528543356822,0.00030899035442111256,61.53846153846154,0.0,-0.08612595989471657,0.3985803449915804,holded,0,0.0,2021-02-09
2021-06-03,1866.55,0.0,0.0,0.0,-0.019025095256865132,-0.01498148131766353,-0.5154349999206982,7.6923076923076925,0.01464992389649944,114,0.03267148787866625,0.00012945311533885118,61.53846153846154,11.538461538461538,-0.08612595989471657,0.17009881706291607,holded,0,0.0,2021-02-09
2021-06-04,1890.6,0.0,0.0,0.0,0.012884733867295273,-0.01498148131766353,-0.18883189458007213,96.15384615384616,0.027723418134377287,115,0.06175541375459881,0.0002444134864640901,61.53846153846154,3.8461538461538463,-0.08612595989471657,0.3218938653138656,holded,0,0.0,2021-02-09
2021-06-07,1888.4,0.0,0.0,0.0,-0.0011636517507668254,-0.013007895166475174,0.31311079474194436,50.0,0.026527505979561106,118,0.05750628397837798,0.0002277904362879557,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.30800824759444506,holded,0,0.0,2021-02-09
2021-06-08,1893.15,0.0,0.0,0.0,0.0025153569159075406,-0.013007895166475174,0.5107903606593724,73.07692307692308,0.029109589041096173,119,0.06264774093150227,0.0002481746324496381,61.53846153846154,3.8461538461538463,-0.08612595989471657,0.3379885585795592,holded,0,0.0,2021-02-09
2021-06-09,1894.6,0.0,0.0,0.0,0.0007659192351370248,-0.013007895166475174,0.5834323981293108,61.53846153846154,0.029897803870406747,120,0.06381884006782546,0.0002528673248667346,61.53846153846154,0.0,-0.08612595989471657,0.34714044298553987,holded,0,0.0,2021-02-09
2021-06-10,1888.65,0.0,0.0,0.0,-0.0031405045919982166,-0.013007895166475174,0.3566497249830061,38.46153846153846,0.026663405088062753,121,0.05633248030951421,0.00022329498840334416,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.3095861586989224,holded,0,0.0,2021-02-09
2021-06-11,1881.05,1.0,0.0,0.0,-0.004024038334260016,-0.013007895166475174,0.45233424789759913,34.61538461538461,0.02253207218960651,122,0.04710065398861385,0.00018677143204137714,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.2616176611227383,holded,0,0.0,2021-02-09
2021-06-14,1865.6,1.0,0.0,0.0,-0.00821349778049496,-0.013007895166475174,0.32876519602077653,19.23076923076923,0.01413350728419216,125,0.02869774179386897,0.00011386973675375778,61.53846153846154,11.538461538461538,-0.08612595989471657,0.16410275486589015,holded,0,0.0,2021-02-09
2021-06-15,1865.1,1.0,0.0,0.0,-0.00026801029159517764,-0.013007895166475174,0.36635586299155287,53.84615384615385,0.013861709067188421,126,0.02791556511264015,0.00011077860473940326,61.53846153846154,11.538461538461538,-0.08612595989471657,0.16094693265693022,holded,0,0.0,2021-02-09
2021-06-16,1860.75,0.0,0.0,0.0,-0.0023323146211998713,-0.013007895166475174,0.10914299981079098,42.30769230769231,0.011497064579256255,127,0.02294214171950082,9.105058583158687e-05,61.53846153846154,11.538461538461538,-0.08612595989471657,0.13349127943898303,holded,0,0.0,2021-02-09
2021-06-17,1778.7,0.0,0.0,0.0,-0.04409512293430062,-0.01498148131766353,-0.6689833565056545,0.0,-0.03310502283105021,128,-0.06413004482386664,-0.0002542704869199497,53.84615384615385,100.0,-0.08612595989471657,-0.3843791450512594,stop loss,1,0.0,2021-02-09
2021-06-18,1773.1,0.0,-1.0,0.0,-0.0031483667847305163,-0.01498148131766353,-0.638522619199419,38.46153846153846,-0.036149162861491724,129,-0.06939927467404206,-0.00027505968554331073,53.84615384615385,100.0,-0.08612595989471657,-0.41972435379160644,stop loss,2,0.0,2021-02-09
2021-02-23,1799.65,1.0,0.0,0.0,0.0,,,62.85714285714286,0.0,0,0.0,0.0,62.85714285714286,62.85714285714286,0.0,,holded,0,0.0,2021-02-23
2021-02-24,1788.0,1.0,0.0,0.0,-0.006473480954630073,,,25.714285714285715,-0.006473480954630073,1,-0.8053632444246585,-0.006431574998960077,25.714285714285715,82.85714285714286,-0.00647348095463002,-1.0000000000000082,holded,0,0.0,2021-02-23
2021-02-25,1779.65,0.0,0.0,0.0,-0.004670022371364602,,,31.42857142857143,-0.011113272025115917,2,-0.7553951457111404,-0.00551023556347896,28.571428571428573,91.42857142857143,-0.01111327202511589,-1.0000000000000024,holded,0,0.0,2021-02-23
2021-02-26,1742.85,0.0,0.0,0.0,-0.02067822324614399,,,5.714285714285714,-0.03156169255132946,3,-0.9323847525808566,-0.010297626287641082,14.285714285714286,100.0,-0.03156169255132951,-0.9999999999999982,holded,0,0.0,2021-02-23
2021-03-01,1734.15,0.0,0.0,0.0,-0.00499182373698237,,,31.42857142857143,-0.0363959658822548,6,-0.7892626090336474,-0.005935883095237293,28.571428571428573,100.0,-0.03639596588225487,-0.9999999999999981,holded,0,0.0,2021-02-23
2021-03-02,1723.85,0.0,0.0,0.0,-0.005939509269671128,,,28.571428571428573,-0.04211930097518968,7,-0.7875722698746185,-0.005870446080132763,28.571428571428573,100.0,-0.04211930097518973,-0.9999999999999987,holded,0,0.0,2021-02-23
2021-03-03,1711.4,0.0,0.0,0.0,-0.0072222061084199485,,,25.714285714285715,-0.04903731281082424,8,-0.7948131507666892,-0.005958111137809863,28.571428571428573,100.0,-0.04903731281082429,-0.999999999999999,holded,0,0.0,2021-02-23
2021-03-04,1712.1,0.0,0.0,0.0,0.0004090218534531509,,,62.85714285714286,-0.04864834828994535,9,-0.7525142813403511,-0.005257126225865605,28.571428571428573,100.0,-0.04903731281082429,-0.9920679886685577,holded,0,0.0,2021-02-23
2021-03-05,1696.25,0.0,0.0,0.0,-0.009257636820279136,,,14.285714285714286,-0.05745561636984975,10,-0.774884390440975,-0.005560780591867487,28.571428571428573,100.0,-0.057455616369849735,-1.0000000000000002,holded,0,0.0,2021-02-23
2021-03-08,1687.05,1.0,0.0,0.0,-0.0054237288135593476,,,28.571428571428573,-0.0625677215014031,13,-0.714197633311879,-0.004647534403354969,31.42857142857143,100.0,-0.06256772150140306,-1.0000000000000007,holded,0,0.0,2021-02-23
2021-03-09,1716.9,1.0,0.0,0.0,0.017693607184138038,,,97.14285714285714,-0.045981163003917414,14,-0.5714267130147641,-0.0032022880288380406,42.85714285714286,100.0,-0.06256772150140306,-0.7349023090586142,holded,0,0.0,2021-02-23
2021-03-10,1716.2,0.0,0.0,0.0,-0.0004077115731841996,,,57.142857142857146,-0.04637012752479641,15,-0.5496175824313065,-0.00301376236376405,42.85714285714286,100.0,-0.06256772150140306,-0.7411190053285954,holded,0,0.0,2021-02-23
2021-03-11,1724.25,0.0,0.0,0.0,0.00469059550168982,,,77.14285714285714,-0.041897035534687155,16,-0.4903853588627539,-0.0025595022571324177,42.85714285714286,100.0,-0.06256772150140306,-0.6696269982237986,holded,0,0.0,2021-02-23
2021-03-12,1704.8,1.0,0.0,0.0,-0.011280266782659143,,,14.285714285714286,-0.05270469257911248,17,-0.5518427493123803,-0.003012302521192667,42.85714285714286,100.0,-0.06256772150140306,-0.8423623445825911,holded,0,0.0,2021-02-23
