date,gold,volume
2012-02-15,1733.0,140860.0
2012-02-16,1713.0,166951.0
2012-02-17,1723.0,116795.0
2012-02-21,1748.0,202405.0
2012-02-22,1752.0,176268.0
2012-02-23,1777.0,153929.0
2012-02-24,1777.5,139752.0
2012-02-27,1772.0,132504.0
2012-02-28,1781.0,158913.0
2012-02-29,1770.0,343493.0
2012-03-01,1714.0,239499.0
2012-03-02,1707.0,147086.0
2012-03-05,1705.0,158938.0
2012-03-06,1669.0,237112.0
2012-03-07,1677.5,157557.0
2012-03-08,1690.0,156218.0
2012-03-09,1687.5,206573.0
2012-03-12,1697.5,152099.0
2012-03-13,1690.0,209911.0
2012-03-14,1644.25,279269.0
2012-03-15,1648.0,180716.0
2012-03-16,1658.0,160610.0
2012-03-19,1661.5,135038.0
2012-03-20,1656.75,154433.0
2012-03-21,1649.25,139650.0
2012-03-22,1635.5,175716.0
2012-03-23,1664.0,144592.0
2012-03-26,1680.25,195612.0
2012-03-27,1692.0,175344.0
2012-03-28,1676.0,193107.0
2012-03-29,1657.5,163878.0
2012-03-30,1662.5,111161.0
2012-04-02,1677.5,110017.0
2012-04-03,1676.25,156003.0
2012-04-04,1621.0,201938.0
2012-04-05,1631.0,128046.0
2012-04-10,1644.0,177501.0
2012-04-11,1658.0,102788.0
2012-04-12,1668.5,141531.0
2012-04-13,1666.5,127471.0
2012-04-16,1653.0,114468.0
2012-04-17,1635.5,142002.0
2012-04-18,1644.0,106988.0
2012-04-19,1650.0,161296.0
2012-04-20,1641.5,87025.0
2012-04-23,1629.0,125013.0
2012-04-24,1649.5,107793.0
2012-04-25,1637.75,166069.0
2012-04-26,1653.5,130313.0
2012-04-27,1663.5,97633.0
2012-04-30,1651.25,115408.0
2012-05-01,1664.0,105171.0
2012-05-02,1648.0,129795.0
2012-05-03,1637.75,151919.0
2012-05-04,1643.75,144960.0
2012-05-08,1602.5,218708.0
2012-05-09,1582.5,210608.0
2012-05-10,1598.5,138244.0
2012-05-11,1583.0,151009.0
2012-05-14,1558.5,162291.0
2012-05-15,1556.5,159325.0
2012-05-16,1548.5,252560.0
2012-05-17,1554.0,211541.0
2012-05-18,1589.5,176041.0
2012-05-21,1592.5,140539.0
2012-05-22,1582.5,175858.0
2012-05-23,1549.0,259185.0
2012-05-24,1568.5,197533.0
2012-05-25,1569.5,157335.0
2012-05-29,1579.5,259050.0
2012-05-30,1540.0,273695.0
2012-05-31,1558.0,177334.0
2012-06-01,1606.0,307040.0
2012-06-06,1635.0,184614.0
2012-06-07,1606.0,254777.0
2012-06-08,1576.5,158606.0
2012-06-11,1584.0,116635.0
2012-06-12,1603.5,149667.0
2012-06-13,1619.5,128377.0
2012-06-14,1613.5,153140.0
2012-06-15,1627.25,130137.0
2012-06-18,1615.5,120675.0
2012-06-19,1625.5,124749.0
2012-06-20,1601.0,210736.0
2012-06-21,1582.0,214302.0
2012-06-22,1565.5,120470.0
2012-06-25,1570.0,114462.0
2012-06-26,1576.0,103440.0
2012-06-27,1573.5,115527.0
2012-06-28,1558.5,139961.0
2012-06-29,1598.5,190835.0
2012-07-02,1592.0,98936.0
2012-07-03,1617.5,112150.0
2012-07-05,1604.0,172550.0
2012-07-06,1587.0,161742.0
2012-07-09,1585.0,98066.0
2012-07-10,1595.25,151155.0
2012-07-11,1577.0,140490.0
2012-07-12,1556.25,171190.0
2012-07-13,1595.5,129985.0
2012-07-16,1589.75,101745.0
2012-07-17,1585.25,141888.0
2012-07-18,1575.25,133067.0
2012-07-19,1584.0,134865.0
2012-07-20,1576.25,122585.0
2012-07-23,1572.25,141477.0
2012-07-24,1583.25,158537.0
2012-07-25,1601.0,212741.0
2012-07-26,1618.0,188616.0
2012-07-27,1618.25,197976.0
2012-07-30,1617.75,111653.0
2012-07-31,1622.0,124765.0
2012-08-01,1599.0,156106.0
2012-08-02,1597.0,158560.0
2012-08-03,1602.0,126858.0
2012-08-06,1610.0,79352.0
2012-08-07,1611.0,86450.0
2012-08-08,1613.25,84409.0
2012-08-09,1615.0,69240.0
2012-08-10,1618.5,112185.0
2012-08-13,1622.5,96667.0
2012-08-14,1597.75,118540.0
2012-08-15,1601.75,101682.0
2012-08-16,1604.5,107456.0
2012-08-17,1614.75,77285.0
2012-08-20,1615.0,69468.0
2012-08-21,1639.5,128719.0
2012-08-22,1642.0,138502.0
2012-08-23,1665.25,157054.0
2012-08-24,1667.0,102664.0
2012-08-28,1668.0,105051.0
2012-08-29,1660.0,112444.0
2012-08-30,1660.5,96786.0
2012-08-31,1648.5,195805.0
2012-09-04,1697.0,179166.0
2012-09-05,1690.0,101574.0
2012-09-06,1701.0,176797.0
2012-09-07,1728.0,216526.0
2012-09-10,1732.0,111150.0
2012-09-11,1736.75,109346.0
2012-09-12,1737.0,182989.0
2012-09-13,1733.25,260342.0
2012-09-14,1775.5,195524.0
2012-09-17,1770.0,118555.0
2012-09-18,1769.5,163628.0
2012-09-19,1766.75,162962.0
2012-09-20,1758.5,144572.0
2012-09-21,1784.5,185293.0
2012-09-24,1762.5,159194.0
2012-09-25,1771.5,157676.0
2012-09-26,1744.75,196374.0
2012-09-27,1763.0,181476.0
2012-09-28,1776.0,156934.0
2012-10-01,1787.0,190607.0
2012-10-02,1775.5,119797.0
2012-10-03,1775.25,119091.0
2012-10-04,1791.75,161985.0
2012-10-05,1784.0,158446.0
2012-10-08,1773.5,95898.0
2012-10-09,1774.0,140493.0
2012-10-10,1761.25,129541.0
2012-10-11,1769.0,117573.0
2012-10-12,1766.75,130391.0
2012-10-15,1736.0,172769.0
2012-10-16,1746.5,105627.0
2012-10-17,1749.0,112841.0
2012-10-18,1743.0,106130.0
2012-10-19,1737.0,158721.0
2012-10-22,1726.75,108139.0
2012-10-23,1711.0,153971.0
2012-10-24,1706.5,140583.0
2012-10-25,1715.5,141164.0
2012-10-26,1716.0,126511.0
2012-10-29,1707.0,57608.0
2012-10-30,1710.0,57253.0
2012-10-31,1719.0,120009.0
2012-11-01,1716.25,121499.0
2012-11-02,1685.0,223444.0
2012-11-05,1683.5,120547.0
2012-11-06,1691.0,187222.0
2012-11-07,1715.25,265682.0
2012-11-08,1717.0,165870.0
2012-11-09,1738.25,148670.0
2012-11-12,1735.25,107182.0
2012-11-13,1726.25,142502.0
2012-11-14,1725.75,143227.0
2012-11-15,1710.0,181712.0
2012-11-16,1713.5,136952.0
2012-11-19,1730.5,125525.0
2012-11-20,1732.25,128071.0
2012-11-21,1724.0,129035.0
2012-11-23,1734.5,165900.0
2012-11-26,1750.5,165966.0
2012-11-27,1746.25,198873.0
2012-11-28,1708.0,276136.0
2012-11-29,1725.0,178274.0
2012-11-30,1726.0,142067.0
2012-12-03,1720.0,104840.0
2012-12-04,1697.75,197018.0
2012-12-05,1694.0,157791.0
2012-12-06,1694.25,145846.0
2012-12-07,1701.5,145925.0
2012-12-10,1712.5,84330.0
2012-12-11,1710.0,81044.0
2012-12-12,1716.25,167086.0
